filepath,tags
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/20231005.png,20231005
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/avatar-gen11230082e35f225a09e7ecc998cbdf1d.jpg,"avatar,gen11230082e35f225a09e7ecc998cbdf1d"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Screenshot-1.png,screenshot
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Screenshot-3.png,screenshot
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Screenshot.png,screenshot
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/startallback and roundedTB.png,startallback and roundedtb
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/WhatsApp Image 2023-11-27 at 08.45.52.jpeg,"27 at 08.45.52,whatsapp image 2023"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/1691475077332350.png,"1691475077332350,downloaded via net"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/1747845904392626.png,"1747845904392626,downloaded via net"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/alexander-buhaj-uqyWgIlYT6c-unsplash.jpg,"alexander,buhaj,downloaded via net,unsplash,uqywgilyt6c"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/alexander-buhaj-uqyWgIlYT6c-unsplash_darkened.JPG,"alexander,buhaj,darkened,downloaded via net,unsplash,uqywgilyt6c"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/noaa--urO88VoCRE-unsplash.jpg,"downloaded via net,noaa,unsplash,uro88vocre"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/noaa-QRBe3Ithczs-unsplash.jpg,"downloaded via net,noaa,qrbe3ithczs,unsplash"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/noaa-_hVSg97JM14-unsplash.jpg,"downloaded via net,hvsg97jm14,noaa,unsplash"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230317-BallyvooneyCove_ROW5905528136_UHD.jpg,"20230317,ballyvooneycove,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row5905528136,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230318-MarsTars_ROW6080159799_UHD.jpg,"20230318,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,marstars,row6080159799,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230319-BarnOwlWinter_ROW1460850406_UHD.jpg,"20230319,barnowlwinter,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row1460850406,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230322-LakePowellAerial_ROW6879678211_UHD.jpg,"20230322,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,lakepowellaerial,row6879678211,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230323-ChavarocheWinter_ROW7074402150_UHD.jpg,"20230323,bingwallpaper,chavarochewinter,downloaded via net,downloaded via net/bingwallpaper,row7074402150,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230324-WildGarlic_ROW9262672440_UHD.jpg,"20230324,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row9262672440,uhd,wildgarlic"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230325-CecilBrewerStaircase_ROW9372140819_UHD.jpg,"20230325,bingwallpaper,cecilbrewerstaircase,downloaded via net,downloaded via net/bingwallpaper,row9372140819,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230326-WildAnza_ROW9424619205_UHD.jpg,"20230326,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row9424619205,uhd,wildanza"
